Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
48524650,12/28/2020 03:54:00 PM,12/30/2020 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,12/30/2020 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48524723,12/29/2020 02:31:39 PM,12/31/2020 12:11:21 PM,DOT,Department of Transportation,Ferry Inquiry,Lost and Found,Terminal,,,,,,,,,,,,Closed,,"After performing a thorough search, the Department of Transportation was unable to find the lost item. If the item is turned in later, you will be contacted.",12/31/2020 12:11:27 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48528590,12/30/2020 08:47:00 AM,01/08/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,INTERSECTION,,,DSNY Garage,Closed,,The vehicle you reported has been removed by the Department of Sanitation.,01/08/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48528674,12/30/2020 03:00:00 PM,03/10/2021 08:31:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,144 ST W,8 AVE,INTERSECTION,,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,12/29/2020 02:59:00 PM,Unspecified MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,,,,,,,
48532569,12/30/2020 10:27:40 AM,01/06/2021 07:17:36 AM,DOT,Department of Transportation,Highway Condition,Litter,Highway,,,,,,,,,,,,Closed,,"The condition has been inspected/investigated, see customer notes for more information.",01/06/2021 07:20:31 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Staten Island Expwy,Westbound/To Goethals Br,Ramp,Clove Rd (Exit 13A),,,,,,,,,
48536770,12/31/2020 04:09:05 AM,01/27/2021 09:46:06 AM,DOT,Department of Transportation,Ferry Complaint,General Complaint,Ferry,,,,,,,,,,,,Closed,,The Department of Transportation contacted the customer and resolved the service request or provided the information requested.,01/27/2021 09:45:42 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48537640,12/31/2020 06:55:47 AM,01/27/2021 09:47:50 AM,DOT,Department of Transportation,Ferry Complaint,General Complaint,Ferry,,,,,,,,,,,,Closed,,The Department of Transportation contacted the customer and resolved the service request or provided the information requested.,01/27/2021 09:47:44 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48538170,12/31/2020 03:12:41 AM,01/27/2021 09:01:44 AM,DOT,Department of Transportation,Ferry Complaint,General Complaint,Ferry,,,,,,,,,,,,Closed,,"The condition was inspected and it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists.",01/27/2021 09:01:48 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48539449,12/31/2020 12:14:00 PM,01/04/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,ADDRESS,,,DSNY Garage,Closed,,The vehicle you reported has been removed by the Department of Sanitation.,01/04/2021 12:00:00 PM,Unspecified STATEN ISLAND,,STATEN ISLAND,,,PHONE,Unspecified,STATEN ISLAND,,,,,,,,,,,,,,,,
48539463,12/31/2020 02:31:40 AM,12/31/2020 10:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10475,CO-OP CITY BOULEVARD,CO-OP CITY BOULEVARD,ASCH LOOP,BELLAMY LOOP,,,BLOCKFACE,BRONX,,,Closed,,The Department of Transportation inspected this complaint and did not find the reported problem.,12/31/2020 10:00:00 AM,10 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,,,,,,,
48541203,12/31/2020 07:56:35 AM,12/31/2020 08:11:06 AM,DOT,Department of Transportation,Broken Parking Meter,Out of Order,Street,,,,,,,,,,,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",12/31/2020 08:10:38 AM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48544621,01/01/2021 11:33:48 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Driver Report - Non Passenger,,,,,,,,,,,,,In Progress,,,,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48546582,01/01/2021 05:47:57 PM,01/05/2021 06:29:02 AM,DOT,Department of Transportation,Highway Sign - Missing,Exit/Route,Highway,,,,,,,,,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,01/05/2021 06:29:07 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,BQE/Gowanus Expwy,West/Brooklyn Bound,Ramp,Entrance Westbound BQE West Leg,,,,,,,,,
48547769,12/31/2020 01:12:00 PM,01/02/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,ADDRESS,,,DSNY Garage,Closed,,The vehicle you reported has been removed by the Department of Sanitation.,01/02/2021 12:00:00 PM,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,,,,,,,
48549656,01/02/2021 06:10:41 PM,01/13/2021 06:04:47 AM,DOT,Department of Transportation,Broken Parking Meter,Out of Order,Street,,,,,,,,,,,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/13/2021 06:04:43 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48550673,01/02/2021 10:19:43 PM,01/04/2021 08:26:01 AM,DOT,Department of Transportation,Ferry Inquiry,Lost and Found,Ferry,,,,,,,,,,,,Closed,,"After performing a thorough search, the Department of Transportation was unable to find the lost item. If the item is turned in later, you will be contacted.",01/04/2021 08:26:06 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48551177,01/02/2021 12:53:36 PM,01/07/2021 06:22:44 AM,DOT,Department of Transportation,Broken Parking Meter,Out of Order,Street,,,,,,,,,,,,Closed,,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,01/07/2021 06:22:42 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48551277,01/02/2021 09:06:00 AM,01/09/2021 12:00:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11694,263 B  133 STREET,B  133 STREET,ROCKAWAY BEACH BOULEVARD,NEWPORT AVENUE,,,ADDRESS,Rockaway Park,,,Closed,,,01/09/2021 12:00:00 AM,14 QUEENS,4162670011,QUEENS,1025460,148957,PHONE,Unspecified,QUEENS,,,,,,,,40.5754327714575,-73.8516552186728,"(40.5754327714575, -73.8516552186728)",20532,51,3,41,58,58
48551664,01/02/2021 11:19:47 PM,01/02/2021 11:23:12 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11209,7316 3 AVENUE,3 AVENUE,73 STREET,RAGAMUFFIN WAY,73 STREET,RAGAMUFFIN WAY,,BROOKLYN,3 AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,01/02/2021 11:23:14 PM,10 BROOKLYN,3059170044,BROOKLYN,976669,169772,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63265823743662,-74.02731292418314,"(40.63265823743662, -74.02731292418314)",17216,10,2,44,41,41
48551726,01/02/2021 05:24:00 PM,01/02/2021 06:15:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,VICTORY BLVD,WEST SHORE EXPY,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/02/2021 06:15:00 PM,0 Unspecified,,Unspecified,,,UNKNOWN,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48551824,01/02/2021 05:05:15 PM,01/04/2021 06:23:04 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10458,179 EAST  205 STREET,EAST  205 STREET,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,01/04/2021 06:23:04 PM,07 BRONX,2033120061,BRONX,1016055,258157,PHONE,Unspecified,BRONX,,,,,,,,40.87519838165641,-73.88499453014357,"(40.87519838165641, -73.88499453014357)",10936,24,5,40,34,34
48553876,01/02/2021 10:17:00 AM,01/04/2021 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E1A Litter Basket / Improper Use,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/04/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48554059,01/01/2021 05:17:00 PM,01/04/2021 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/04/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48555767,01/02/2021 02:50:00 PM,01/08/2021 12:00:00 PM,DSNY,Department of Sanitation,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/08/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48564596,01/03/2021 09:46:06 AM,01/04/2021 01:17:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,,2990 BRUCKNER EXPRESSWAY EB EXIT   46,BRUCKNER EXPRESSWAY EB EXIT   46,BRUCKNER EXPRESSWAY,,,,ADDRESS,,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/04/2021 01:17:00 PM,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,,,,,,,
48564618,01/04/2021 09:15:00 AM,01/04/2021 10:15:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Warning Signal,,,,,,,CONDUIT AVE N,149 AVE,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/04/2021 10:15:00 AM,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,,,,,,,
48566493,01/04/2021 01:31:00 AM,01/04/2021 12:00:00 PM,DSNY,Department of Sanitation,Collection Truck Noise,21 Collection Truck Noise,Sidewalk,,,,,,,,INTERSECTION,,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/04/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48567862,01/04/2021 09:58:00 AM,01/07/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,ADDRESS,,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/07/2021 12:00:00 PM,Unspecified STATEN ISLAND,,STATEN ISLAND,,,PHONE,Unspecified,STATEN ISLAND,,,,,,,,,,,,,,,,
48569365,01/05/2021 09:46:41 AM,01/05/2021 09:58:31 AM,NYPD,New York City Police Department,Encampment,N/A,,11230,OCEAN PARKWAY,OCEAN PARKWAY,AVENUE I,AVENUE J,AVENUE I,AVENUE J,,,,,Closed,,This complaint does not fall under the Police Department's jurisdiction.,01/05/2021 09:58:35 AM,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,,,,,,,
48570576,01/06/2021 12:35:00 AM,01/07/2021 12:45:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,109 AVE,127 ST,INTERSECTION,,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/07/2021 12:45:00 PM,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,,,,,,,
55009861,08/04/2022 05:29:11 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Driver Report - Non Passenger,,,,,,,,,,,,,In Progress,,,,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48570718,01/05/2021 10:27:39 AM,01/05/2021 10:30:18 AM,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Street,,,,,,,,,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,01/05/2021 10:30:09 AM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48572420,01/04/2021 02:54:00 PM,01/09/2021 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/09/2021 12:00:00 PM,,,,,,ONLINE,Unspecified,,,,,,,,,,,,,,,,,
48577180,01/05/2021 12:39:00 PM,01/06/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,ADDRESS,,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/06/2021 12:00:00 PM,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,,,,,,,
48577905,01/04/2021 03:53:37 PM,01/05/2021 01:30:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,,,,,,,,INTERSECTION,,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/05/2021 01:30:00 PM,,,,,,UNKNOWN,Unspecified,,,,,,,,,,,,,,,,,
48579565,01/06/2021 07:58:00 AM,01/09/2021 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,,,,,,,INTERSECTION,,,N/A,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,01/09/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48579725,01/06/2021 07:34:01 AM,01/07/2021 02:31:30 AM,DOT,Department of Transportation,Highway Condition,Litter,Highway,,,,,,,,,,,,Closed,,"The condition has been inspected/investigated, see customer notes for more information.",01/07/2021 02:31:33 AM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,West Shore Expwy,Northbound,Roadway,Woodrow Rd (Exit 3) - Arthur Kill Rd (Exit 4),,,,,,,,,
48580616,01/06/2021 03:45:00 PM,11/04/2022 03:10:00 PM,DEP,Department of Environmental Protection,Plant,DRY WEATHER DISCHARGE - DWD,,11369,BOWERY BAY,BOWERY BAY,BOWERY BAY WPCP,EFFLUENT OUTFALL,,,PLACENAME,EAST ELMHURST,,,Closed,,,11/04/2022 03:10:00 PM,80 QUEENS,,QUEENS,1015193,222355,ONLINE,Unspecified,QUEENS,,,,,,,,40.776935240361695,-73.88827659450837,"(40.776935240361695, -73.88827659450837)",,,,,,
48581674,01/05/2021 08:00:00 PM,01/11/2021 11:42:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,,,,,,,INTERSECTION,,,,Closed,,The Department of Transportation inspected this complaint and found that the problem was fixed.,01/11/2021 11:42:00 AM,,,,,,UNKNOWN,Unspecified,,,,,,,,,,,,,,,,,
48582751,01/06/2021 11:02:00 AM,01/25/2021 12:24:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11102,,,,,21 STREET,28 AVENUE,INTERSECTION,Astoria,,,Closed,,,01/25/2021 12:24:00 PM,01 QUEENS,,QUEENS,1004521,220230,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.77113359116471,-73.92681551549907,"(40.77113359116471, -73.92681551549907)",16859,39,3,4,72,72
48584727,01/05/2021 04:07:00 PM,01/06/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,,,,,,,,INTERSECTION,,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/06/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48584852,01/05/2021 08:00:00 PM,01/06/2021 02:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,,,,,,,INTERSECTION,,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/06/2021 02:00:00 AM,,,,,,UNKNOWN,Unspecified,,,,,,,,,,,,,,,,,
48584913,01/06/2021 09:53:00 PM,01/07/2021 08:57:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,BYRON AVE,239 ST E,INTERSECTION,,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/07/2021 08:57:00 AM,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,,,,,,,
48588704,01/07/2021 12:19:38 PM,01/26/2021 09:37:13 AM,DOT,Department of Transportation,Highway Sign - Dangling,Exit/Route,Highway,,,,,,,,,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,01/26/2021 09:37:17 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Belt Pkwy,East/Long Island Bound,Ramp,Springfield Blvd (Exit 22),,,,,,,,,
48591396,01/06/2021 08:00:00 PM,01/07/2021 01:15:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,BLOSSOM AVENUE,BOTANICAL GARDEN BRIDGE,,,BLOCKFACE,,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/07/2021 01:15:00 AM,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,,,,,,,
48598719,01/08/2021 03:12:00 AM,01/08/2021 07:36:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,1 AVE,56 ST E,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/08/2021 07:36:00 AM,Unspecified MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,,,,,,,
48599340,01/08/2021 01:14:46 PM,01/14/2021 06:11:46 AM,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Street,,,,,,,,,,,,Closed,,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,01/14/2021 06:11:42 AM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
48600358,01/08/2021 07:54:00 AM,01/08/2021 12:00:00 PM,DSNY,Department of Sanitation,Snow,15I Street Condition Ice-Non Storm,Street,,,,,,,,INTERSECTION,,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and salted the area.,01/08/2021 12:00:00 PM,,,,,,PHONE,Unspecified,,,,,,,,,,,,,,,,,
48602500,01/08/2021 11:17:00 AM,01/11/2021 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,ADDRESS,,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/11/2021 12:00:00 PM,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,,,,,,,
49497382,01/09/2021 09:15:15 AM,01/14/2021 06:35:53 AM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,,,,,,,,,,,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/14/2021 06:35:50 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
49497470,01/10/2021 02:03:32 AM,01/15/2021 08:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11417,80 STREET,80 STREET,GLENMORE AVENUE,PITKIN AVENUE,,,BLOCKFACE,Ozone Park,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/15/2021 08:00:00 AM,10 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,,,,,,,
49498298,01/08/2021 08:06:57 AM,01/13/2021 08:15:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,,,,,,,INTERSECTION,,,,Closed,,The Department of Transportation inspected this complaint and found that the problem was fixed.,01/13/2021 08:15:00 AM,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,,,,,,,
49499840,01/09/2021 11:56:15 AM,01/14/2021 06:41:59 AM,DOT,Department of Transportation,Broken Parking Meter,Out of Order,Street,,,,,,,,,,,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/14/2021 06:41:54 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
49502510,01/08/2021 03:56:00 PM,01/08/2021 03:56:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,,,,,,INTERSECTION,,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,01/08/2021 03:56:00 PM,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,,,,,,,
49502777,01/09/2021 12:37:42 PM,01/14/2021 06:47:40 AM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,,,,,,,,,,,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/14/2021 06:47:35 AM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
49503905,01/10/2021 05:44:00 PM,01/11/2021 01:32:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,27 ST E,AVE N,INTERSECTION,,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/11/2021 01:32:00 PM,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,,,,,,,
